Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,x coordinate,y coordinate,Location
2018,27,102067,102067,89-105 Collins Street,Melbourne (CBD),Barista 101,4511,Cafes and Restaurants,Seats - Outdoor,10,144.97081,-37.81489,"(-37.81489298, 144.9708136)"
2018,27,102069,102069,107-113 Collins Street,Melbourne (CBD),Il Solito Posto,4511,Cafes and Restaurants,Seats - Indoor,70,144.97026,-37.81469,"(-37.81468584, 144.97026)"
2018,17,103591,103591,1-9 Exhibition Street,Melbourne (CBD),Bon a Manger,4512,Takeaway Food Services,Seats - Indoor,13,144.97204,-37.81584,"(-37.8158426, 144.972041)"
2018,17,103591,103591,1-9 Exhibition Street,Melbourne (CBD),Bonnie Coffee Co,4511,Cafes and Restaurants,Seats - Indoor,12,144.97204,-37.81584,"(-37.8158426, 144.972041)"
2018,17,103926,103926,125-127 Flinders Lane,Melbourne (CBD),Chin Chin Restaurant,4511,Cafes and Restaurants,Seats - Indoor,100,144.97040,-37.81569,"(-37.81568854, 144.9703999)"
2018,17,103928,103928,133-135 Flinders Lane,Melbourne (CBD),Meatball & Wine Bar,4511,Cafes and Restaurants,Seats - Indoor,53,144.97016,-37.81573,"(-37.81573307, 144.9701589)"
2018,17,103928,103928,133-135 Flinders Lane,Melbourne (CBD),Meatball & Wine Bar,4511,Cafes and Restaurants,Seats - Outdoor,27,144.97016,-37.81573,"(-37.81573307, 144.9701589)"
2018,17,108593,108593,24-30 Russell Street,Melbourne (CBD),Lucy Liu's Kitchen & Bar,4511,Cafes and Restaurants,Seats - Indoor,100,144.96989,-37.81600,"(-37.8159981, 144.9698948)"
2018,58,102268,102268,11-25 Crossley Street,Melbourne (CBD),Becco,4511,Cafes and Restaurants,Seats - Indoor,100,144.97101,-37.81143,"(-37.81142979, 144.9710138)"
2018,58,102268,102268,11-25 Crossley Street,Melbourne (CBD),Becco,4511,Cafes and Restaurants,Seats - Outdoor,16,144.97101,-37.81143,"(-37.81142979, 144.9710138)"
2018,37,102155,102155,106-120 Collins Street,Melbourne (CBD),Raku Raku,4512,Takeaway Food Services,Seats - Indoor,12,144.96935,-37.81400,"(-37.81400035, 144.9693468)"
2018,37,102158,102158,86-88 Collins Street,Melbourne (CBD),Doc Martins,4511,Cafes and Restaurants,Seats - Indoor,16,144.97058,-37.81394,"(-37.81393792, 144.9705844)"
2018,37,102158,102158,86-88 Collins Street,Melbourne (CBD),Doc Martins,4511,Cafes and Restaurants,Seats - Outdoor,12,144.97058,-37.81394,"(-37.81393792, 144.9705844)"
2018,48,503031,503031,19-23 Meyers Place,Melbourne (CBD),Loop Project Space & Bar,4520,"Pubs, Taverns and Bars",Seats - Indoor,30,144.97211,-37.81215,"(-37.81215229, 144.972108)"
2018,48,503031,503031,19-23 Meyers Place,Melbourne (CBD),Loop Project Space & Bar,4520,"Pubs, Taverns and Bars",Seats - Outdoor,148,144.97211,-37.81215,"(-37.81215229, 144.972108)"
2018,68,105672,105672,53-57 Lonsdale Street,Melbourne (CBD),Kenny's Bakery Cafe,4511,Cafes and Restaurants,Seats - Outdoor,6,144.97071,-37.81006,"(-37.81005682, 144.9707144)"
2018,47,101121,101121,147-149 Bourke Street,Melbourne (CBD),Gyoza Douraku,4511,Cafes and Restaurants,Seats - Outdoor,12,144.96897,-37.81281,"(-37.81280533, 144.9689723)"
2018,47,108590,108590,122 Russell Street,Melbourne (CBD),Embla,4511,Cafes and Restaurants,Seats - Outdoor,8,144.96872,-37.81343,"(-37.81342971, 144.9687156)"
2018,47,108588,108588,132-134 Russell Street,Melbourne (CBD),Ba'get,4511,Cafes and Restaurants,Seats - Indoor,24,144.96860,-37.81317,"(-37.81316766, 144.968595)"
2018,47,108588,108588,132-134 Russell Street,Melbourne (CBD),Ba'get,4511,Cafes and Restaurants,Seats - Outdoor,12,144.96860,-37.81317,"(-37.81316766, 144.968595)"
2018,67,102198,102198,22-26 Corrs Lane,Melbourne (CBD),Fukuryu Ramen,4511,Cafes and Restaurants,Seats - Indoor,60,144.96832,-37.81100,"(-37.81099753, 144.9683243)"
2018,67,105679,105679,131-137 Lonsdale Street,Melbourne (CBD),Boom Boom Fry,4512,Takeaway Food Services,Seats - Indoor,9,144.96851,-37.81104,"(-37.81103613, 144.9685148)"
